Date,Open,High,Low,Close,Volume,Adj Close,PE,PE_Rank,PEG,ROE,Asset_Type,Name,Is_Core,Is_Tech
2022-02-22,408.5331937704951,411.9479493682577,402.82927137444875,406.3386535644531,124391800,406.3386535644531,46.9,100.0,1.8,15,ETF,SPDR S&P 500,true,false
2022-02-23,409.2614955902434,409.8290530099485,398.56314936740426,399.1307067871094,132578000,399.1307067871094,47.75,100.0,1.8,15,ETF,SPDR S&P 500,true,false
2022-02-24,388.7918112514867,405.57244232576124,388.43238610030824,405.1372985839844,213942900,405.1372985839844,47.04,100.0,1.8,15,ETF,SPDR S&P 500,true,false
2022-02-25,406.376434848572,414.16136219529494,404.72107583636694,414.07623291015625,121804500,414.07623291015625,46.02,100.0,1.8,15,ETF,SPDR S&P 500,true,false
2022-02-28,408.6655195382482,414.5018543995483,407.40745955382687,413.0167541503906,145615000,413.0167541503906,46.14,100.0,1.8,15,ETF,SPDR S&P 500,true,false
2022-03-01,411.5128521133461,413.5276653882751,404.01168808813594,406.72650146484375,137785900,406.72650146484375,46.85,100.0,1.8,15,ETF,SPDR S&P 500,true,false
2022-03-02,408.9871853932259,415.9396990802248,408.23046138487615,414.20867919921875,117726500,414.20867919921875,46.01,100.0,1.8,15,ETF,SPDR S&P 500,true,false
2022-03-03,416.6491311196768,417.254504541962,410.33983584072405,412.14654541015625,105501700,412.14654541015625,46.24,100.0,1.8,15,ETF,SPDR S&P 500,true,false
2022-03-04,408.40067480868873,409.9330595198553,404.7399715837537,408.7979736328125,113978200,408.7979736328125,46.62,100.0,1.8,15,ETF,SPDR S&P 500,true,false
2022-03-07,408.21151760843173,408.92095717943505,396.6807574716845,396.7469787597656,137896600,396.7469787597656,48.03,100.0,1.8,15,ETF,SPDR S&P 500,true,false
2022-03-08,396.9267271799458,404.10625256186984,392.67008952422367,393.7389831542969,164772700,393.7389831542969,48.4,100.0,1.8,15,ETF,SPDR S&P 500,true,false
