Date,Open,High,Low,Close,Volume,Adj Close,PE,PE_Rank,PEG,ROE,Asset_Type,Name,Is_Core,Is_Tech
2022-01-28,125.05911158077528,127.81967091706429,121.62060643003076,127.63433074951172,21911400,127.63433074951172,126.91,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
2022-01-31,128.49761159057266,134.3211212158203,127.75626579145519,134.3211212158203,14468800,134.3211212158203,120.6,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
2022-02-01,135.24293669870343,135.3453560437618,131.7897927930428,134.89663696289062,11685400,134.89663696289062,120.08,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
2022-02-02,137.8620299149288,138.53510099669552,135.5892019380447,138.3400115966797,11819400,138.3400115966797,117.09,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
2022-02-03,134.92590822142765,136.83292329413038,131.6873673032508,132.20436096191406,16690600,132.20436096191406,122.53,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
2022-02-04,131.65810420966392,134.05773233753177,129.97055915729214,132.92132568359375,9879200,132.92132568359375,121.87,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
2022-02-07,133.52610337861495,135.06733504240606,132.50188024082442,133.13104248046875,10319400,133.13104248046875,121.67,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
2022-02-08,132.26289246880344,136.267174800333,131.9507523605072,135.8574676513672,10124800,135.8574676513672,119.23,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
2022-02-09,137.92544821294223,140.61771786829064,136.1793629666233,140.5884552001953,20297200,140.5884552001953,115.22,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
2022-02-10,137.4718461222877,141.61269224108588,135.73552503378593,136.37933349609375,16619600,136.37933349609375,118.78,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
2022-02-11,136.56469979677192,137.5499112012179,128.5561490667094,129.37066650390625,23369800,129.37066650390625,125.21,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
2022-02-14,129.80472788454475,132.00926651709815,127.66846384812209,129.28285217285156,15577600,129.28285217285156,125.3,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
2022-02-15,132.17998384924613,136.4720107207042,131.7702915929644,136.31593322753906,12811800,136.31593322753906,118.83,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
2022-02-16,134.59912181349608,136.65246511236668,133.26274366480925,136.2866668701172,10021000,136.2866668701172,118.86,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
2022-02-17,134.5942479332972,134.76495676694498,130.71191318686306,130.8240966796875,15833000,130.8240966796875,123.82,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
2022-02-18,131.26306543973232,131.49716682767217,127.63922715665989,129.37066650390625,17236400,129.37066650390625,125.21,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
2022-02-22,127.92698079514103,131.53618757480982,126.58572041264199,128.4829864501953,17874800,128.4829864501953,126.08,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
2022-02-23,130.58997402882076,131.5800673541874,125.4444179806857,125.79070281982422,15235800,125.79070281982422,128.77,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
2022-02-24,120.92313431329411,130.12661522103087,120.35248997856574,130.10711669921875,21510200,130.10711669921875,124.5,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
2022-02-25,129.99493498408296,131.9653722727093,128.18545725098267,131.92147827148438,17731000,131.92147827148438,122.79,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
2022-02-28,129.96079811636397,132.10681153988628,128.26350376204678,130.78506469726562,17839800,130.78506469726562,123.86,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
2022-03-01,130.33636285677292,131.22890405386937,125.40539461729828,126.65886688232422,16571000,126.65886688232422,127.89,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
2022-03-02,127.6050664554404,131.50203246013245,127.288044275994,130.80458068847656,16573600,130.80458068847656,123.84,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
2022-03-03,131.214281257674,131.26305733860818,127.19538224611524,127.98550415039062,16515200,127.98550415039062,126.57,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
2022-03-04,126.59057553427921,127.57091961066942,123.0545332142283,124.5421142578125,16157600,124.5421142578125,130.07,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
2022-03-07,124.7177038003871,125.61511965896351,118.27964831028594,118.34305572509766,17728600,118.34305572509766,136.88,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
2022-03-08,118.5283938000302,124.45919730893246,116.88473521254164,120.1281509399414,25880800,120.1281509399414,134.84,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
2022-03-09,124.3128754891716,126.1760114188875,122.73749905367335,125.34686279296875,13344800,125.34686279296875,129.23,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
2022-03-10,123.02039028201183,123.2008558159771,120.32323839836742,122.63508605957031,14997800,122.63508605957031,132.09,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
2022-03-11,124.46407813859184,124.70306157146516,119.76722611170023,119.87940216064453,14765200,119.87940216064453,135.12,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
2022-03-14,119.76234643455517,120.3915161389413,115.74832245888173,116.41651153564453,23371400,116.41651153564453,139.14,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
2022-03-15,117.5041512989538,121.62060211821326,116.63111608595182,121.2938232421875,20833800,121.2938232421875,133.55,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
2022-03-16,123.4837155150961,127.71721649169922,122.35218360699757,127.71721649169922,23147400,127.71721649169922,126.83,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
2022-03-17,126.4540128430751,128.51712036132812,125.40539415476161,128.51712036132812,13429200,128.51712036132812,126.04,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
2022-03-18,127.4294764487565,131.70200488699658,126.94662750873076,131.2923126220703,16140400,131.2923126220703,123.38,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
2022-03-21,130.91674127959368,131.9653597902046,128.67804323830336,130.98501586914062,13897200,130.98501586914062,123.67,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
